,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
285,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.569413586270598
286,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.842641949415241
287,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.727821837084473
288,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.6202542032201075
289,6,0.1,16,True,[100000],2,-2.5611961299684167,-2.7461084367039
290,6,0.1,16,True,[100000],2,-2.5611961299684167,-3.478206465148694
291,6,0.1,16,True,[100000],2,-2.5611961299684167,-4.182060926516916
292,6,0.1,16,True,[100000],4,-2.5611961299684167,-2.577588220171815
293,6,0.1,16,True,[100000],4,-2.5611961299684167,-2.575956039110522
294,6,0.1,16,True,[100000],4,-2.5611961299684167,-3.6554604501058847
295,6,0.1,16,True,[100000],4,-2.5611961299684167,-2.890662570124673
296,6,0.1,16,True,[100000],4,-2.5611961299684167,-3.1421472477234773
297,6,0.1,16,True,[100000],4,-2.5611961299684167,-3.644823923558913
298,6,0.1,16,True,[100000],4,-2.5611961299684167,-3.4366074189041917
299,6,0.1,16,True,[100000],4,-2.5611961299684167,-3.515923835888897
300,6,0.5,2,True,[100000],2,-2.4226084613465804,-2.4243182284780675
301,6,0.5,2,True,[100000],4,-2.4226084613465804,-2.4314671645463655
302,6,0.5,4,True,[100000],2,-2.5567411934425066,-2.561861290644209
303,6,0.5,4,True,[100000],2,-2.5567411934425066,-2.5569142270676766
304,6,0.5,4,True,[100000],4,-2.5567411934425066,-2.8981576367257857
305,6,0.5,4,True,[100000],4,-2.5567411934425066,-2.9226611679072927
306,6,0.5,8,True,[100000],2,-2.5771748121730265,-2.578017323956455
307,6,0.5,8,True,[100000],2,-2.5771748121730265,-2.577612300237313
308,6,0.5,8,True,[100000],2,-2.5771748121730265,-2.634855236291678
309,6,0.5,8,True,[100000],2,-2.5771748121730265,-3.852251884292892
310,6,0.5,8,True,[100000],4,-2.5771748121730265,-2.5815051014140806
